Track Name,Artist,Album,Release Date,Cover Image URL,Genre,Price
Back In Black,AC/DC,Back In Black,1980-07-25,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,hard rock,27.99
Highway to Hell,AC/DC,Highway to Hell,1979-07-27,https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0,hard rock,29.99
Thunderstruck,AC/DC,The Razors Edge,1990-09-24,https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508,hard rock,27.99
T.N.T.,AC/DC,High Voltage,1976-05-14,https://i.scdn.co/image/ab67616d0000b273286a0837ff3424065a735e0a,hard rock,29.99
Shoot to Thrill,AC/DC,Back In Black,1980-07-25,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,hard rock,27.99
You Shook Me All Night Long,AC/DC,Back In Black,1980-07-25,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,hard rock,27.99
We Will Rock You - Movie Mix,Queen,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,https://i.scdn.co/image/ab67616d0000b273e8b066f70c206551210d902b,glam rock,24.99
Eye of the Tiger,Survivor,Eye Of The Tiger,1982,https://i.scdn.co/image/ab67616d0000b2734e2755e7a96ec5e062c76aac,hard rock,27.99
Seven Nation Army,The White Stripes,Elephant,2003-04-01,https://i.scdn.co/image/ab67616d0000b273a69f71a8794e2d867a52f98f,alternative rock,24.99
Icky Thump,The White Stripes,Icky Thump,2007-06-15,https://i.scdn.co/image/ab67616d0000b2739295cf342788e9c05b2e2720,alternative rock,24.99
You Give Love A Bad Name,Bon Jovi,Slippery When Wet,1986-08-16,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,glam metal,27.99
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,1987-07-21,https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60,glam metal,27.99
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,1987-07-21,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5,glam metal,27.99
Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),1970,https://i.scdn.co/image/ab67616d0000b27390a50cfe99a4c19ff3cbfbdb,hard rock,29.99
Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1971-11-08,https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69,hard rock,29.99
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),1976,https://i.scdn.co/image/ab67616d0000b2731be40e44db112e123e5e8b51,progressive rock,29.99
"Paint It, Black",The Rolling Stones,Aftermath,1966-04-15,https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694,classic rock,29.99
Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01,https://i.scdn.co/image/ab67616d0000b273128450651c9f0442780d8eb8,hard rock,29.99
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),1991-09-26,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6,grunge,27.99
Fox on the Run - Single Version,Sweet,"Fox on the Run (from the ""Guardians of the Galaxy 2"" Trailer)",2016-12-16,https://i.scdn.co/image/ab67616d0000b2738f5522a7474d9a925f040342,glam rock,24.99
Hooked On A Feeling,Blue Swede,Hooked On A Feeling,1973-04-01,https://i.scdn.co/image/ab67616d0000b273b2439940aedd2801c9ae2e5b,classic swedish pop,29.99
The Chain,Fleetwood Mac,"I, Tonya (Original Motion Picture Soundtrack)",2017-12-10,https://i.scdn.co/image/ab67616d0000b2735cc7c72fbf6e4595d3adb27b,yacht rock,24.99
Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,1973-11-01,https://i.scdn.co/image/ab67616d0000b27346814e1b44e54d806753801e,native american traditional,29.99
I Think We're Alone Now,Tiffany,Tiffany,1987-01-01,https://i.scdn.co/image/ab67616d0000b273389fee741b183fc3df0fbf64,new wave pop,27.99
It's Not Unusual,Tom Jones,Along Came Jones,1965-05-01,https://i.scdn.co/image/ab67616d0000b27337c9e9907888dea39387df7c,british invasion,29.99
I Want It That Way,Backstreet Boys,Millennium,1999-05-18,https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b,dance pop,27.99
Higher Love - Single Version,Steve Winwood,Pure '80s: #1s,2006-01-01,https://i.scdn.co/image/ab67616d0000b273ce3a819629055278dac24a76,folk rock,24.99
Please Mr. Postman,Carpenters,Horizon,1975-06-06,https://i.scdn.co/image/ab67616d0000b27330e5af0ab55dbfa49af947a2,soft rock,29.99
